City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,tabuk,17.4189,121.4443,25.78,83,66,0.22,PH,1701219423
147,okha,53.5739,142.9478,-8.59,76,82,3.96,RU,1701219423
148,nuuk,64.1835,-51.7216,2.34,44,100,5.66,GL,1701219360
149,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.54,GF,1701219424
150,kone,-21.0595,164.8658,29.26,52,100,1.44,NC,1701219424
151,aljezur,37.3191,-8.8033,17.6,97,100,4.48,PT,1701219424
152,ulsteinvik,62.3432,5.8487,-2.74,70,100,3.13,NO,1701219424
153,san rafael,-34.6177,-68.3301,24.53,22,33,7.66,AR,1701219425
154,stjordalshalsen,63.4681,10.9262,-7.27,85,100,4.63,NO,1701219425
155,geraldton,-28.7667,114.6,24.23,60,75,5.66,AU,1701219154
156,stephenville,32.2207,-98.2023,11.07,46,0,0.0,US,1701219425
157,ormara,25.2088,64.6357,23.48,65,28,3.04,PK,1701219426
158,tsiombe,-25.3,45.4833,22.47,97,22,2.05,MG,1701219426
159,aktau,43.65,51.2,0.32,69,7,4.2,KZ,1701219426
160,ulladulla,-35.35,150.4667,19.03,93,100,7.48,AU,1701219427
161,peterhead,57.5058,-1.7981,0.22,60,100,3.78,GB,1701219427
162,chulakkurgan,43.765,69.1814,12.06,51,99,5.6,KZ,1701219427
163,san gabriel chilac,18.3167,-97.35,19.8,78,100,3.05,MX,1701219428
164,port saint john's,-31.6229,29.5448,20.06,71,71,8.47,ZA,1701219428
165,bakchar,57.0186,82.0711,-10.85,87,95,2.22,RU,1701219428
166,mulanje,-16.0316,35.5,24.01,59,35,2.0,MW,1701219428
167,ceuta,35.8903,-5.3075,19.01,83,5,5.45,ES,1701219428
168,pauri,30.15,78.7833,7.94,50,16,1.91,IN,1701219429
169,anadyr,64.75,177.4833,-4.72,93,75,2.0,RU,1701219429
170,levokumskoye,44.8219,44.6606,2.75,96,13,2.82,RU,1701219429
171,roldan,-32.8985,-60.9068,29.45,65,0,4.63,AR,1701219430
172,salekhard,66.53,66.6019,-11.0,94,100,6.4,RU,1701219430
173,port douglas,-16.4833,145.4667,28.87,68,94,2.65,AU,1701219430
174,utrik,11.2278,169.8474,27.62,77,99,9.13,MH,1701219431
175,nizhneudinsk,54.9076,99.0276,-20.23,97,19,1.14,RU,1701219431
176,ugoofaaru,5.6667,73.0,27.92,77,100,4.23,MV,1701219431
177,hastings,50.8552,0.5729,5.29,43,67,4.47,GB,1701219431
178,taboshar,40.5686,69.6413,0.18,28,99,3.1,TJ,1701219431
179,sidney,-33.8679,151.2073,26.93,77,75,8.75,AU,1701219241
